Hash,HashNeedThis,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,ProductClass,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,ColorwaySKU7,Size0,Size1,Size2,Size3,Size4,Size5,Size6,Size7,QOH0,QOH1,QOH2,QOH3,QOH4,QOH5,QOH6,QOH7,Status0,Status1,Status2,Status3,Status4,Status5,Status6,Status7,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,LineListOrder,LineList,2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,primaryImageURL,thumbURL,imageURL0,imageURL1,imageURL2,imageURL3,imageURL4,imageURL5,imageURL6,imageURL7,imageURL8,imageURL9,imageURL10
0+51000-00001,0+51000-00001,Snow,FA23,Norg,NORG HiPER Goggle Black/Silver - Mirror Silver Lens,Snow Goggles,Hard Goods,FA22,"FA22,FA23,SP23",Goggle System,Mirror,,Norg,Black/Silver,TRUE,TRUE,51000-00001,51000-00001,,,,,,,,OS,,,,,,,,720,,,,,,,,716,,,,,,,,250.00,270.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/ff2aefaf-212e-4fbd-841a-cb53ce11352e,https://cdn.amplifi.pattern.com/ff2aefaf-212e-4fbd-841a-cb53ce11352e_thumb.png,https://cdn.amplifi.pattern.com/6ac4001a-2aa5-4073-a840-2442f20abb92,https://cdn.amplifi.pattern.com/98d5c597-12c4-4884-a312-7d1b44b6f4fc,https://cdn.amplifi.pattern.com/c1aaa1b1-316d-4ca8-a86a-f83ec4152ceb,https://cdn.amplifi.pattern.com/e25993a6-142c-4edd-8047-2ae35b38c74c,https://cdn.amplifi.pattern.com/0478c3ed-9a03-401f-9161-33cca7dbe7d0,https://cdn.amplifi.pattern.com/ff2aefaf-212e-4fbd-841a-cb53ce11352e,https://cdn.amplifi.pattern.com/c994c748-6c8d-4177-bfff-6d4c9693a39d,https://cdn.amplifi.pattern.com/d2ed22fa-ee1a-42ca-a2f6-16c1fd06592d,https://cdn.amplifi.pattern.com/e5205999-f344-4def-ba2f-2f66db54e351,https://cdn.amplifi.pattern.com/fb7fbea2-9ac9-485b-bd50-f7db1f149577,https://cdn.amplifi.pattern.com/3b8af137-e3f9-4695-bf6a-109041e8d994
0+51000-00002,0+51000-00002,Snow,FA23,Norg,NORG HiPER Goggle Black/Red - Mirror Red Lens,Snow Goggles,Hard Goods,FA22,"FA22,FA23,SP23",Goggle System,Mirror,,Norg,Black/Red,TRUE,TRUE,51000-00002,51000-00002,,,,,,,,OS,,,,,,,,530,,,,,,,,520,,,,,,,,250.00,270.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/7e5f9c83-63ae-477c-823e-9091f5a935af,https://cdn.amplifi.pattern.com/7e5f9c83-63ae-477c-823e-9091f5a935af_thumb.png,https://cdn.amplifi.pattern.com/3cdc2c5b-0631-4c94-927c-5ecc50c94f1b,https://cdn.amplifi.pattern.com/9190f267-bdeb-4e87-86e6-44beb070fc3e,https://cdn.amplifi.pattern.com/9fd99e4b-ec68-4a8b-a008-4ddbf96619ec,https://cdn.amplifi.pattern.com/a029058a-8fcf-4f6b-a16e-bb2037b66d12,https://cdn.amplifi.pattern.com/dc874a07-fffc-4be1-ac1d-d835fb1226ad,https://cdn.amplifi.pattern.com/7e5f9c83-63ae-477c-823e-9091f5a935af,https://cdn.amplifi.pattern.com/e305e90c-e4e1-4a4b-a999-679dc826bcac,https://cdn.amplifi.pattern.com/657557f8-008e-4e67-963e-4e29634e1a32,https://cdn.amplifi.pattern.com/652b3aa1-ac9c-46d9-8f48-7969a1dcc12c,https://cdn.amplifi.pattern.com/72a8ea24-b890-4218-bbb6-2b5b526e3172,https://cdn.amplifi.pattern.com/1611f388-0b87-4ebe-955f-8febd86b7894
0+51000-00003,0+51000-00003,Snow,FA23,Norg,NORG HiPER Goggle White/Violet - Mirror Violet Lens,Snow Goggles,Hard Goods,FA22,"FA22,FA23,SP23",Goggle System,Mirror,,Norg,White/Violet,TRUE,TRUE,51000-00003,51000-00003,,,,,,,,OS,,,,,,,,429,,,,,,,,422,,,,,,,,250.00,270.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/8b193a93-88d5-4163-b655-763e3ddf5b43,https://cdn.amplifi.pattern.com/8b193a93-88d5-4163-b655-763e3ddf5b43_thumb.png,https://cdn.amplifi.pattern.com/8b193a93-88d5-4163-b655-763e3ddf5b43,https://cdn.amplifi.pattern.com/cf19e644-2352-4a99-9104-c230fc32c79f,https://cdn.amplifi.pattern.com/d5c2e861-21ba-4e4a-a744-7865a81697a6,https://cdn.amplifi.pattern.com/123030ac-1e25-42d1-ab80-ccd2247fa9f3,https://cdn.amplifi.pattern.com/f4b1937d-6edf-4b9e-b27d-2fae2b8a3eb3,,,,,,
0+51000-00004,0+51000-00004,Snow,FA23,Norg,NORG HiPER Goggle White/Green - Mirror Green Lens,Snow Goggles,Hard Goods,FA22,"FA22,FA23,SP23",Goggle System,Mirror,,Norg,White/Green,TRUE,TRUE,51000-00004,51000-00004,,,,,,,,OS,,,,,,,,314,,,,,,,,309,,,,,,,,250.00,270.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/6108cafd-f54e-47bb-9d89-e5a109323073,https://cdn.amplifi.pattern.com/6108cafd-f54e-47bb-9d89-e5a109323073_thumb.png,https://cdn.amplifi.pattern.com/40abe3d0-2c55-4713-8f1a-bb68e9ad7653,https://cdn.amplifi.pattern.com/6456a832-6339-4cc8-bbd9-40715691deb1,https://cdn.amplifi.pattern.com/6108cafd-f54e-47bb-9d89-e5a109323073,https://cdn.amplifi.pattern.com/716e780a-2413-41dd-ad6b-551f3a44ca9b,https://cdn.amplifi.pattern.com/b57054ff-11cd-4099-acec-7e518d888875,https://cdn.amplifi.pattern.com/d6f18cda-2c34-471e-9361-ffecd3b0fdd1,https://cdn.amplifi.pattern.com/d8a3acbc-8f7a-4513-9d67-234923fbb2e7,https://cdn.amplifi.pattern.com/4b74eaa4-77b4-45c8-b2f3-1292c389ea8d,https://cdn.amplifi.pattern.com/2b8f457f-1527-4fcd-925a-603bdd26fd26,,
0+51000-00006,0+51000-00006,Snow,FA23,Norg,NORG HiPER Goggle Badlands - Mirror Red Lens,Snow Goggles,Hard Goods,FA22,"FA22,SP23",Goggle System,Mirror,,Norg,Badlands,TRUE,FALSE,51000-00006,51000-00006,,,,,,,,OS,,,,,,,,401,,,,,,,,396,,,,,,,,250.00,270.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/49f147f9-6a1c-41ab-8e8b-8b5b7802114e,https://cdn.amplifi.pattern.com/49f147f9-6a1c-41ab-8e8b-8b5b7802114e_thumb.png,https://cdn.amplifi.pattern.com/a33951c0-14fc-4f8e-a7d7-343134202948,https://cdn.amplifi.pattern.com/24ebd789-8365-4bbb-aaef-79ceb9398a00,https://cdn.amplifi.pattern.com/0b383810-d618-4e95-a3aa-8f64c5c86475,https://cdn.amplifi.pattern.com/ed355f93-fb74-486e-a1f5-023658a7ed54,https://cdn.amplifi.pattern.com/49f147f9-6a1c-41ab-8e8b-8b5b7802114e,,,,,,
0+51000-00007,0+51000-00007,Snow,FA23,Norg,NORG HiPER Goggle Bison - Mirror Silver Lens,Snow Goggles,Hard Goods,FA22,"FA22,SP23",Goggle System,Mirror,,Norg,Bison,TRUE,FALSE,51000-00007,51000-00007,,,,,,,,OS,,,,,,,,403,,,,,,,,401,,,,,,,,250.00,270.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/5b5a8bb2-9308-42bf-bcf7-178524f003ed,https://cdn.amplifi.pattern.com/5b5a8bb2-9308-42bf-bcf7-178524f003ed_thumb.png,https://cdn.amplifi.pattern.com/5b5a8bb2-9308-42bf-bcf7-178524f003ed,https://cdn.amplifi.pattern.com/6d7e145c-7850-49d3-9dbd-59440b4b77ee,https://cdn.amplifi.pattern.com/ead1bb44-fdd8-440f-8ec6-9a18525cdcbf,,,,,,,,
0+51000-00008,0+51000-00008,Snow,FA23,Norg,NORG HiPER Goggle Acid Snow/Lavender - Mirror Lavender Lens,Snow Goggles,Hard Goods,FA22,"FA22,SP23",Goggle System,Mirror,,Norg,Acid Snow/Lavender,TRUE,FALSE,51000-00008,51000-00008,,,,,,,,OS,,,,,,,,193,,,,,,,,190,,,,,,,,250.00,270.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/73efddd5-bf18-46e0-85c3-bd5247d760b6,https://cdn.amplifi.pattern.com/73efddd5-bf18-46e0-85c3-bd5247d760b6_thumb.png,https://cdn.amplifi.pattern.com/73efddd5-bf18-46e0-85c3-bd5247d760b6,https://cdn.amplifi.pattern.com/82cb24c8-117f-4781-8c3c-440c13559e49,https://cdn.amplifi.pattern.com/fc232ebd-938a-4b0d-8387-426b3bd46837,https://cdn.amplifi.pattern.com/c135b604-e67e-4e91-bf69-f857fc91663e,,,,,,,
0+51000-00010,0+51000-00010,Snow,FA23,Norg,NORG HiPER Goggle Cacti - Mirror Copper Lens,Snow Goggles,Hard Goods,FA23,FA23,Goggle System,Mirror,,Norg,Cacti,FALSE,FALSE,51000-00010,51000-00010,,,,,,,,OS,,,,,,,,0,,,,,,,,0,,,,,,,,250.00,270.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,,,,,,,,,,,,,
0+51000-00011,0+51000-00011,Snow,FA23,Norg,NORG HiPER Goggle Chameleon - Mirror Green Lens,Snow Goggles,Hard Goods,FA23,FA23,Goggle System,Mirror,,Norg,Chameleon,FALSE,FALSE,51000-00011,51000-00011,,,,,,,,OS,,,,,,,,0,,,,,,,,0,,,,,,,,250.00,270.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,,,,,,,,,,,,,
0+51000-00012,0+51000-00012,Snow,FA23,Norg,NORG HiPER Goggle Static - Mirror Silver Lens,Snow Goggles,Hard Goods,FA23,FA23,Goggle System,Mirror,,Norg,Static,FALSE,FALSE,51000-00012,51000-00012,,,,,,,,OS,,,,,,,,0,,,,,,,,0,,,,,,,,250.00,270.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,,,,,,,,,,,,,
