Hash,HashNeedThis,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,ProductClass,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,ColorwaySKU7,Size0,Size1,Size2,Size3,Size4,Size5,Size6,Size7,QOH0,QOH1,QOH2,QOH3,QOH4,QOH5,QOH6,QOH7,Status0,Status1,Status2,Status3,Status4,Status5,Status6,Status7,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,LineListOrder,LineList,2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,primaryImageURL,thumbURL,imageURL0,imageURL1,imageURL2,imageURL3,imageURL4,imageURL5,imageURL6,imageURL7,imageURL8,imageURL9,imageURL10
0+51001-00001,0+51001-00001,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle Black/Silver - Mirror Silver Lens,Snow Goggles,Hard Goods,FA22,"FA22,FA23,SP23",Goggle System,Mirror,,Snowcraft,Black/Silver,TRUE,TRUE,51001-00001,51001-00001,,,,,,,,OS,,,,,,,,948,,,,,,,,945,,,,,,,,180.00,200.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/40f8fad8-921b-4381-b12d-e9ce9b0fc64c,https://cdn.amplifi.pattern.com/40f8fad8-921b-4381-b12d-e9ce9b0fc64c_thumb.png,https://cdn.amplifi.pattern.com/40f8fad8-921b-4381-b12d-e9ce9b0fc64c,https://cdn.amplifi.pattern.com/529c72cd-21a7-4e01-bd9e-07a109ebdc6b,https://cdn.amplifi.pattern.com/5b621068-115e-4d09-aeeb-fce97c3c5885,,,,,,,,
0+51001-00002,0+51001-00002,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle Black/Green - Mirror Green Lens,Snow Goggles,Hard Goods,FA22,"FA22,FA23,SP23",Goggle System,Mirror,,Snowcraft,Black/Green,TRUE,TRUE,51001-00002,51001-00002,,,,,,,,OS,,,,,,,,979,,,,,,,,972,,,,,,,,180.00,200.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/b30349b3-d49f-4437-afc1-8f3b87b6a672,https://cdn.amplifi.pattern.com/b30349b3-d49f-4437-afc1-8f3b87b6a672_thumb.png,https://cdn.amplifi.pattern.com/5662d727-8c50-4d9b-918e-1ff1ed5e06b5,https://cdn.amplifi.pattern.com/611436e2-bf9e-462d-8229-3b5624e7328d,https://cdn.amplifi.pattern.com/78dcd50b-264b-494c-aee7-b2fe15403579,https://cdn.amplifi.pattern.com/8df0834b-c4c6-4f7e-8028-275b7b827468,https://cdn.amplifi.pattern.com/ad9e9964-53d3-4835-b656-a8a2e2cdfdaf,https://cdn.amplifi.pattern.com/dc843379-08ae-4b4c-a9aa-5f56c2d4ecf1,https://cdn.amplifi.pattern.com/1149a418-29b6-41c8-8b0e-9b012397eb40,https://cdn.amplifi.pattern.com/f2f49e09-37d9-4d31-909f-9c2d6c0668ff,https://cdn.amplifi.pattern.com/739c179e-f785-41e7-813b-27152669f513,https://cdn.amplifi.pattern.com/b30349b3-d49f-4437-afc1-8f3b87b6a672,https://cdn.amplifi.pattern.com/4d62012e-d6ac-4c26-9abe-c466201dbd9c
0+51001-00003,0+51001-00003,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle White/Lavender - Mirror Lavender Lens,Snow Goggles,Hard Goods,FA22,"FA22,FA23,SP23",Goggle System,Mirror,,Snowcraft,White/Lavender,TRUE,TRUE,51001-00003,51001-00003,,,,,,,,OS,,,,,,,,488,,,,,,,,483,,,,,,,,180.00,200.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/caaa1cbf-83bd-4b31-85b6-071de35ca567,https://cdn.amplifi.pattern.com/caaa1cbf-83bd-4b31-85b6-071de35ca567_thumb.png,https://cdn.amplifi.pattern.com/a20ef49a-1c0c-4cf7-8d36-0c5087129ba1,https://cdn.amplifi.pattern.com/b413b258-2a5a-4451-befd-ed1610ee2a16,https://cdn.amplifi.pattern.com/c0b77915-bea9-48c1-afdd-05d62001f858,https://cdn.amplifi.pattern.com/d8f0e7e7-fa78-4a3a-b8fa-e4665d9d4faa,https://cdn.amplifi.pattern.com/7a3a347d-e68a-481e-835f-a3f1d4ff4041,https://cdn.amplifi.pattern.com/72751bc2-771e-4dce-825b-7f7a20904c62,https://cdn.amplifi.pattern.com/caaa1cbf-83bd-4b31-85b6-071de35ca567,https://cdn.amplifi.pattern.com/c137edff-0140-4dd1-b204-aa79e507ec88,https://cdn.amplifi.pattern.com/ce5c9c65-1762-42f1-ad7a-b5f96cc3163d,https://cdn.amplifi.pattern.com/f82f4a4f-5173-4b55-93a5-e08494c8de72,https://cdn.amplifi.pattern.com/44e815bb-c3f0-4679-99dc-9451d1847f6c
0+51001-00004,0+51001-00004,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle White/Red - Mirror Red Lens,Snow Goggles,Hard Goods,FA22,"FA22,FA23,SP23",Goggle System,Mirror,,Snowcraft,White/Red,TRUE,TRUE,51001-00004,51001-00004,,,,,,,,OS,,,,,,,,745,,,,,,,,739,,,,,,,,180.00,200.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/e2cc7210-bee0-4753-aa88-31e8e6902382,https://cdn.amplifi.pattern.com/e2cc7210-bee0-4753-aa88-31e8e6902382_thumb.png,https://cdn.amplifi.pattern.com/e2cc7210-bee0-4753-aa88-31e8e6902382,https://cdn.amplifi.pattern.com/c30beb15-a81a-4e36-a627-bada07e6b89b,https://cdn.amplifi.pattern.com/1021fcb2-c2b4-404f-8f8e-652170831077,,,,,,,,
0+51001-00005,0+51001-00005,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle Sunpeak - Mirror Silver Flash Lens,Snow Goggles,Hard Goods,FA22,"FA22,SP23",Goggle System,Mirror,,Snowcraft,Sunpeak,TRUE,FALSE,51001-00005,51001-00005,,,,,,,,OS,,,,,,,,389,,,,,,,,385,,,,,,,,180.00,200.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/64595d3a-d4f2-4e08-afe2-59783992000c,https://cdn.amplifi.pattern.com/64595d3a-d4f2-4e08-afe2-59783992000c_thumb.png,https://cdn.amplifi.pattern.com/5618b2fa-1bd2-4d13-9188-608f22291146,https://cdn.amplifi.pattern.com/64595d3a-d4f2-4e08-afe2-59783992000c,https://cdn.amplifi.pattern.com/c4eb1959-72a8-41f6-90ff-8544b66cf026,https://cdn.amplifi.pattern.com/e41168ae-008d-44b8-9f43-ec9a337985f5,https://cdn.amplifi.pattern.com/0d27225e-7764-4095-bec1-909802088933,,,,,,
0+51001-00006,0+51001-00006,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle Cement - Mirror Copper Lens,Snow Goggles,Hard Goods,FA22,"FA22,SP23",Goggle System,Mirror,,Snowcraft,Cement,TRUE,FALSE,51001-00006,51001-00006,,,,,,,,OS,,,,,,,,503,,,,,,,,496,,,,,,,,180.00,200.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/2cd9a803-d495-42d1-bd7e-e0e1a65988ff,https://cdn.amplifi.pattern.com/2cd9a803-d495-42d1-bd7e-e0e1a65988ff_thumb.png,https://cdn.amplifi.pattern.com/2cd9a803-d495-42d1-bd7e-e0e1a65988ff,https://cdn.amplifi.pattern.com/c3837254-3489-4825-8045-94865b55b7c9,https://cdn.amplifi.pattern.com/df380691-91cc-4753-b604-2866dd9ff258,https://cdn.amplifi.pattern.com/7038a840-531a-49aa-a431-78b55a15a09b,,,,,,,
0+51001-00007,0+51001-00007,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle Stonehammer - Mirror Lavender Lens,Snow Goggles,Hard Goods,FA22,"FA22,SP23",Goggle System,Mirror,,Snowcraft,Stonehammer,TRUE,FALSE,51001-00007,51001-00007,,,,,,,,OS,,,,,,,,398,,,,,,,,396,,,,,,,,180.00,200.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/9be7bfb5-d3b3-4e2c-acb6-15224ce2860d,https://cdn.amplifi.pattern.com/9be7bfb5-d3b3-4e2c-acb6-15224ce2860d_thumb.png,https://cdn.amplifi.pattern.com/9be7bfb5-d3b3-4e2c-acb6-15224ce2860d,https://cdn.amplifi.pattern.com/dc744e55-694e-487c-94e7-4fb7075730e0,https://cdn.amplifi.pattern.com/346a4747-662d-481d-846c-9c2933ff78f8,https://cdn.amplifi.pattern.com/c5923d37-2ee6-4039-958e-09c5a7d2d910,,,,,,,
0+51001-00008,0+51001-00008,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle Asteroid - Mirror Violet Lens,Snow Goggles,Hard Goods,FA23,FA23,Goggle System,Mirror,,Snowcraft,Asteroid,FALSE,FALSE,51001-00008,51001-00008,,,,,,,,OS,,,,,,,,0,,,,,,,,0,,,,,,,,180.00,195.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,,,,,,,,,,,,,
0+51001-00009,0+51001-00009,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle Aura - Mirror Yellow Gold Lens,Snow Goggles,Hard Goods,FA23,FA23,Goggle System,Mirror,,Snowcraft,Aura,FALSE,FALSE,51001-00009,51001-00009,,,,,,,,OS,,,,,,,,0,,,,,,,,0,,,,,,,,180.00,195.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,,,,,,,,,,,,,
0+51001-00010,0+51001-00010,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle Kano - Mirror Orange Lens,Snow Goggles,Hard Goods,FA23,FA23,Goggle System,Mirror,,Snowcraft,Kano,FALSE,FALSE,51001-00010,51001-00010,,,,,,,,OS,,,,,,,,0,,,,,,,,0,,,,,,,,180.00,195.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,,,,,,,,,,,,,
0+51001-00011,0+51001-00011,Snow,FA23,Snowcraft,SNOWCRAFT HiPER Goggle Dusty - Mirror Blue Lens,Snow Goggles,Hard Goods,FA23,FA23,Goggle System,Mirror,,Snowcraft,Dusty,FALSE,FALSE,51001-00011,51001-00011,,,,,,,,OS,,,,,,,,0,,,,,,,,0,,,,,,,,180.00,195.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,,,,,,,,,,,,,
0+51002-00001,0+51002-00001,Snow,FA23,Snowcraft XL,SNOWCRAFT XL HiPER Goggle Black/Silver - Mirror Silver Lens,Snow Goggles,Hard Goods,FA22,"FA22,FA23,SP23",Goggle System,Mirror,,Snowcraft XL,Black/Silver,TRUE,TRUE,51002-00001,51002-00001,,,,,,,,OS,,,,,,,,700,,,,,,,,691,,,,,,,,180.00,200.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/6e935fab-188f-404d-909b-ae110eb27b45,https://cdn.amplifi.pattern.com/6e935fab-188f-404d-909b-ae110eb27b45_thumb.png,https://cdn.amplifi.pattern.com/6e935fab-188f-404d-909b-ae110eb27b45,https://cdn.amplifi.pattern.com/773922ed-f403-43c6-8096-a0ed858cacec,https://cdn.amplifi.pattern.com/bd4a4b54-0c88-4057-b2ed-13b025bed396,https://cdn.amplifi.pattern.com/125cd84f-a01a-4755-a31e-4874f8fcfab5,https://cdn.amplifi.pattern.com/daaf50fd-d282-478b-a21e-81706155f851,https://cdn.amplifi.pattern.com/535add8b-1dc6-4b0d-8f9d-023e77b302b8,,,,,
0+51002-00002,0+51002-00002,Snow,FA23,Snowcraft XL,SNOWCRAFT XL HiPER Goggle Black/Red - Mirror Red Lens,Snow Goggles,Hard Goods,FA22,"FA22,FA23,SP23",Goggle System,Mirror,,Snowcraft XL,Black/Red,TRUE,TRUE,51002-00002,51002-00002,,,,,,,,OS,,,,,,,,784,,,,,,,,767,,,,,,,,180.00,200.00,CN,,,,0,[All],2W Distributor Bike,2W Distributor - Moto,2W Distributor,H2,International - Bike,International - Moto,International - AS,International,International - New,Mecanic Sport,Moto Dealers,Motonet,Pierce AB,Retail,TREK,https://cdn.amplifi.pattern.com/47540f4c-e073-4cf7-837b-a8aefa448bb5,https://cdn.amplifi.pattern.com/47540f4c-e073-4cf7-837b-a8aefa448bb5_thumb.png,https://cdn.amplifi.pattern.com/47540f4c-e073-4cf7-837b-a8aefa448bb5,https://cdn.amplifi.pattern.com/63223f2c-88a7-4660-aab0-e3fd731eba49,https://cdn.amplifi.pattern.com/6b4fc5bb-f934-41b2-8c9e-ce04b6897a61,https://cdn.amplifi.pattern.com/9b6ea6a8-b630-44a5-88a5-a1533bffd423,https://cdn.amplifi.pattern.com/b8225ba3-0406-4138-bb8d-22c2be536b71,https://cdn.amplifi.pattern.com/d0de0464-6590-4cc9-9c0f-ed0663206d06,https://cdn.amplifi.pattern.com/dfef90aa-cee8-47e0-a467-aa2be5d1456d,https://cdn.amplifi.pattern.com/06887cd2-2146-4b21-a84c-e108285d9db9,https://cdn.amplifi.pattern.com/10d17a82-54d8-4703-9a00-6ea98ebfe93c,https://cdn.amplifi.pattern.com/814a5618-6980-45f5-85e0-8c3b0e4049db,https://cdn.amplifi.pattern.com/ca486ef6-b73e-4f37-883c-8d592de6b164
