Hash,HashNeedThis,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,YouthWomen,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,primaryImageURL,thumbURL,imageURL0,imageURL1,imageURL2,imageURL3,imageURL4,imageURL5,imageURL6,imageURL7,imageURL8,imageURL9,imageURL10
50027-00012,50027-00012,"Bike, Moto",2023 - Spring,STRATA 2,Goggle,Goggles,Hard Goods,SP22,"FA22,SP22",Goggle System,Clear,,Unisex,Upsol,TRUE,TRUE,50027-00012,50027-00012,,,,,,,,,,,,,,25,35,CN,"52.95% Thermoplastic Polyurethane (TPU)
18.88% Polyamide Nylon
11.38% Polycarbonate (PC)
6.48% Polyester
6.29% Elastane
4.01% Polyether/Fleece","The Strata 2 Goggle. Leading the charge of premium performance at value, the Strata 2 is the essential riding goggle. From trail to track, the Strata 2 offers a near limitless field of view for our top athletes and comfort for the everyday rider.","- Improved fitment and seal with increased field of view
- Supports triple post tear-offs for secure fitment
- Ultra-thick double layer face foam manages sweat
- 40mm wide silicone coated strap keeps goggles in place
- 9-point lens retention system secures lens in frame
- Anti-fog coated polycarbonate lens for clear vision
- Racecraft 2/Accuri 2/Strata 2 utilize same lens and tear-offs",https://fs.amplifi.io//file?id=2e134b3d-8112-49f0-a76a-101ef487ac66,https://fs.amplifi.io//file?id=2e134b3d-8112-49f0-a76a-101ef487ac66&variant=thumb&extension=png,https://fs.amplifi.io//file?id=2e134b3d-8112-49f0-a76a-101ef487ac66,,,,,,,,,,
50028-00001,50028-00001,"Bike, Moto",2023 - Spring,STRATA 2,Goggle,Goggles,Hard Goods,SP22,"FA22,SP22",Goggle System,Mirror,,Unisex,Black,TRUE,TRUE,50028-00001,50028-00001,,,,,,,,,,,,,,35,45,CN,"52.95% Thermoplastic Polyurethane (TPU)
18.88% Polyamide Nylon
11.38% Polycarbonate (PC)
6.48% Polyester
6.29% Elastane
4.01% Polyether/Fleece","The Strata 2 Goggle. Leading the charge of premium performance at value, the Strata 2 is the essential riding goggle. From trail to track, the Strata 2 offers a near limitless field of view for our top athletes and comfort for the everyday rider.","- Improved fitment and seal with increased field of view
- Supports triple post tear-offs for secure fitment
- Ultra-thick double layer face foam manages sweat
- 40mm wide silicone coated strap keeps goggles in place
- 9-point lens retention system secures lens in frame
- Anti-fog coated polycarbonate lens for clear vision
- Racecraft 2/Accuri 2/Strata 2 utilize same lens and tear-offs",https://fs.amplifi.io//file?id=4092fce3-3199-4acc-ac5c-ec89b55f07e3,https://fs.amplifi.io//file?id=4092fce3-3199-4acc-ac5c-ec89b55f07e3&variant=thumb&extension=png,https://fs.amplifi.io//file?id=4092fce3-3199-4acc-ac5c-ec89b55f07e3,,,,,,,,,,
50028-00002,50028-00002,"Bike, Moto",2023 - Spring,STRATA 2,Goggle,Goggles,Hard Goods,SP22,"FA22,SP22",Goggle System,Mirror,,Unisex,Blue,TRUE,TRUE,50028-00002,50028-00002,,,,,,,,,,,,,,35,45,CN,"52.95% Thermoplastic Polyurethane (TPU)
18.88% Polyamide Nylon
11.38% Polycarbonate (PC)
6.48% Polyester
6.29% Elastane
4.01% Polyether/Fleece","The Strata 2 Goggle. Leading the charge of premium performance at value, the Strata 2 is the essential riding goggle. From trail to track, the Strata 2 offers a near limitless field of view for our top athletes and comfort for the everyday rider.","- Improved fitment and seal with increased field of view
- Supports triple post tear-offs for secure fitment
- Ultra-thick double layer face foam manages sweat
- 40mm wide silicone coated strap keeps goggles in place
- 9-point lens retention system secures lens in frame
- Anti-fog coated polycarbonate lens for clear vision
- Racecraft 2/Accuri 2/Strata 2 utilize same lens and tear-offs",https://fs.amplifi.io//file?id=e7996b37-186e-46e6-aa53-bf4b50652167,https://fs.amplifi.io//file?id=e7996b37-186e-46e6-aa53-bf4b50652167&variant=thumb&extension=png,https://fs.amplifi.io//file?id=e7996b37-186e-46e6-aa53-bf4b50652167,,,,,,,,,,
50028-00003,50028-00003,"Bike, Moto",2023 - Spring,STRATA 2,Goggle,Goggles,Hard Goods,SP22,"FA22,SP22",Goggle System,Mirror,,Unisex,Fluo/Yellow,TRUE,TRUE,50028-00003,50028-00003,,,,,,,,,,,,,,35,45,CN,"52.95% Thermoplastic Polyurethane (TPU)
18.88% Polyamide Nylon
11.38% Polycarbonate (PC)
6.48% Polyester
6.29% Elastane
4.01% Polyether/Fleece","The Strata 2 Goggle. Leading the charge of premium performance at value, the Strata 2 is the essential riding goggle. From trail to track, the Strata 2 offers a near limitless field of view for our top athletes and comfort for the everyday rider.","- Improved fitment and seal with increased field of view
- Supports triple post tear-offs for secure fitment
- Ultra-thick double layer face foam manages sweat
- 40mm wide silicone coated strap keeps goggles in place
- 9-point lens retention system secures lens in frame
- Anti-fog coated polycarbonate lens for clear vision
- Racecraft 2/Accuri 2/Strata 2 utilize same lens and tear-offs",https://fs.amplifi.io//file?id=fa9d80cd-b039-415b-b986-06740bcb1f8d,https://fs.amplifi.io//file?id=fa9d80cd-b039-415b-b986-06740bcb1f8d&variant=thumb&extension=png,https://fs.amplifi.io//file?id=fa9d80cd-b039-415b-b986-06740bcb1f8d,,,,,,,,,,
50028-00004,50028-00004,"Bike, Moto",2023 - Spring,STRATA 2,Goggle,Goggles,Hard Goods,SP22,"FA22,SP22",Goggle System,Mirror,,Unisex,Red,TRUE,TRUE,50028-00004,50028-00004,,,,,,,,,,,,,,35,45,CN,"52.95% Thermoplastic Polyurethane (TPU)
18.88% Polyamide Nylon
11.38% Polycarbonate (PC)
6.48% Polyester
6.29% Elastane
4.01% Polyether/Fleece","The Strata 2 Goggle. Leading the charge of premium performance at value, the Strata 2 is the essential riding goggle. From trail to track, the Strata 2 offers a near limitless field of view for our top athletes and comfort for the everyday rider.","- Improved fitment and seal with increased field of view
- Supports triple post tear-offs for secure fitment
- Ultra-thick double layer face foam manages sweat
- 40mm wide silicone coated strap keeps goggles in place
- 9-point lens retention system secures lens in frame
- Anti-fog coated polycarbonate lens for clear vision
- Racecraft 2/Accuri 2/Strata 2 utilize same lens and tear-offs",https://fs.amplifi.io//file?id=8a9a64d4-f326-4f19-8959-3ff9dcdd67ff,https://fs.amplifi.io//file?id=8a9a64d4-f326-4f19-8959-3ff9dcdd67ff&variant=thumb&extension=png,https://fs.amplifi.io//file?id=8a9a64d4-f326-4f19-8959-3ff9dcdd67ff,,,,,,,,,,
50028-00005,50028-00005,"Bike, Moto",2023 - Spring,STRATA 2,Goggle,Goggles,Hard Goods,SP22,"FA22,SP22",Goggle System,Mirror,,Unisex,Orange,TRUE,TRUE,50028-00005,50028-00005,,,,,,,,,,,,,,35,45,CN,"52.95% Thermoplastic Polyurethane (TPU)
18.88% Polyamide Nylon
11.38% Polycarbonate (PC)
6.48% Polyester
6.29% Elastane
4.01% Polyether/Fleece","The Strata 2 Goggle. Leading the charge of premium performance at value, the Strata 2 is the essential riding goggle. From trail to track, the Strata 2 offers a near limitless field of view for our top athletes and comfort for the everyday rider.","- Improved fitment and seal with increased field of view
- Supports triple post tear-offs for secure fitment
- Ultra-thick double layer face foam manages sweat
- 40mm wide silicone coated strap keeps goggles in place
- 9-point lens retention system secures lens in frame
- Anti-fog coated polycarbonate lens for clear vision
- Racecraft 2/Accuri 2/Strata 2 utilize same lens and tear-offs",https://fs.amplifi.io//file?id=1403e8c1-055a-45d5-8aec-50ba8e8ec93b,https://fs.amplifi.io//file?id=1403e8c1-055a-45d5-8aec-50ba8e8ec93b&variant=thumb&extension=png,https://fs.amplifi.io//file?id=1403e8c1-055a-45d5-8aec-50ba8e8ec93b,,,,,,,,,,
50028-00006,50028-00006,"Bike, Moto",2023 - Spring,STRATA 2,Goggle,Goggles,Hard Goods,SP22,"FA22,SP22",Goggle System,Mirror,,Unisex,Izipizi,TRUE,TRUE,50028-00006,50028-00006,,,,,,,,,,,,,,35,45,CN,"52.95% Thermoplastic Polyurethane (TPU)
18.88% Polyamide Nylon
11.38% Polycarbonate (PC)
6.48% Polyester
6.29% Elastane
4.01% Polyether/Fleece","The Strata 2 Goggle. Leading the charge of premium performance at value, the Strata 2 is the essential riding goggle. From trail to track, the Strata 2 offers a near limitless field of view for our top athletes and comfort for the everyday rider.","- Improved fitment and seal with increased field of view
- Supports triple post tear-offs for secure fitment
- Ultra-thick double layer face foam manages sweat
- 40mm wide silicone coated strap keeps goggles in place
- 9-point lens retention system secures lens in frame
- Anti-fog coated polycarbonate lens for clear vision
- Racecraft 2/Accuri 2/Strata 2 utilize same lens and tear-offs",https://fs.amplifi.io//file?id=23f05e23-4fbf-42ab-8141-36c3d84f7041,https://fs.amplifi.io//file?id=23f05e23-4fbf-42ab-8141-36c3d84f7041&variant=thumb&extension=png,https://fs.amplifi.io//file?id=23f05e23-4fbf-42ab-8141-36c3d84f7041,,,,,,,,,,
50028-00007,50028-00007,"Bike, Moto",2023 - Spring,STRATA 2,Goggle,Goggles,Hard Goods,SP22,"FA22,SP22",Goggle System,Mirror,,Unisex,Kombat,TRUE,TRUE,50028-00007,50028-00007,,,,,,,,,,,,,,35,45,CN,"52.95% Thermoplastic Polyurethane (TPU)
18.88% Polyamide Nylon
11.38% Polycarbonate (PC)
6.48% Polyester
6.29% Elastane
4.01% Polyether/Fleece","The Strata 2 Goggle. Leading the charge of premium performance at value, the Strata 2 is the essential riding goggle. From trail to track, the Strata 2 offers a near limitless field of view for our top athletes and comfort for the everyday rider.","- Improved fitment and seal with increased field of view
- Supports triple post tear-offs for secure fitment
- Ultra-thick double layer face foam manages sweat
- 40mm wide silicone coated strap keeps goggles in place
- 9-point lens retention system secures lens in frame
- Anti-fog coated polycarbonate lens for clear vision
- Racecraft 2/Accuri 2/Strata 2 utilize same lens and tear-offs",https://fs.amplifi.io//file?id=3f1ba2ee-4388-4bcb-b30c-a6be0d80e068,https://fs.amplifi.io//file?id=3f1ba2ee-4388-4bcb-b30c-a6be0d80e068&variant=thumb&extension=png,https://fs.amplifi.io//file?id=3f1ba2ee-4388-4bcb-b30c-a6be0d80e068,,,,,,,,,,
50028-00008,50028-00008,"Bike, Moto",2023 - Spring,STRATA 2,Goggle,Goggles,Hard Goods,SP22,"FA22,SP22",Goggle System,Mirror,,Unisex,Masego,TRUE,TRUE,50028-00008,50028-00008,,,,,,,,,,,,,,35,45,CN,"52.95% Thermoplastic Polyurethane (TPU)
18.88% Polyamide Nylon
11.38% Polycarbonate (PC)
6.48% Polyester
6.29% Elastane
4.01% Polyether/Fleece","The Strata 2 Goggle. Leading the charge of premium performance at value, the Strata 2 is the essential riding goggle. From trail to track, the Strata 2 offers a near limitless field of view for our top athletes and comfort for the everyday rider.","- Improved fitment and seal with increased field of view
- Supports triple post tear-offs for secure fitment
- Ultra-thick double layer face foam manages sweat
- 40mm wide silicone coated strap keeps goggles in place
- 9-point lens retention system secures lens in frame
- Anti-fog coated polycarbonate lens for clear vision
- Racecraft 2/Accuri 2/Strata 2 utilize same lens and tear-offs",https://fs.amplifi.io//file?id=411c0a23-fc1d-41cc-99b1-e1e1af3a2c07,https://fs.amplifi.io//file?id=411c0a23-fc1d-41cc-99b1-e1e1af3a2c07&variant=thumb&extension=png,https://fs.amplifi.io//file?id=411c0a23-fc1d-41cc-99b1-e1e1af3a2c07,,,,,,,,,,
50028-00009,50028-00009,"Bike, Moto",2023 - Spring,STRATA 2,Goggle,Goggles,Hard Goods,SP22,"FA22,SP22",Goggle System,Mirror,,Unisex,Everest,TRUE,TRUE,50028-00009,50028-00009,,,,,,,,,,,,,,35,45,CN,"52.95% Thermoplastic Polyurethane (TPU)
18.88% Polyamide Nylon
11.38% Polycarbonate (PC)
6.48% Polyester
6.29% Elastane
4.01% Polyether/Fleece","The Strata 2 Goggle. Leading the charge of premium performance at value, the Strata 2 is the essential riding goggle. From trail to track, the Strata 2 offers a near limitless field of view for our top athletes and comfort for the everyday rider.","- Improved fitment and seal with increased field of view
- Supports triple post tear-offs for secure fitment
- Ultra-thick double layer face foam manages sweat
- 40mm wide silicone coated strap keeps goggles in place
- 9-point lens retention system secures lens in frame
- Anti-fog coated polycarbonate lens for clear vision
- Racecraft 2/Accuri 2/Strata 2 utilize same lens and tear-offs",https://fs.amplifi.io//file?id=f6ca7cb0-7791-4de9-9f11-063a6833b7c2,https://fs.amplifi.io//file?id=f6ca7cb0-7791-4de9-9f11-063a6833b7c2&variant=thumb&extension=png,https://fs.amplifi.io//file?id=f6ca7cb0-7791-4de9-9f11-063a6833b7c2,,,,,,,,,,
