Hash,HashNeedThis,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,YouthWomen,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,primaryImageURL,thumbURL,imageURL0,imageURL1,imageURL2,imageURL3,imageURL4,imageURL5,imageURL6,imageURL7,imageURL8,imageURL9,imageURL10
10000-00000,10000-00000,Moto,2023 - Spring,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Black/Charcoal,TRUE,TRUE,10000-00000,10000-00000,10000-00001,10000-00002,10000-00003,10000-00004,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=49b96c13-97be-4197-b853-60594abd3ff9,https://fs.amplifi.io//file?id=49b96c13-97be-4197-b853-60594abd3ff9&variant=thumb&extension=png,https://fs.amplifi.io//file?id=49b96c13-97be-4197-b853-60594abd3ff9,,,,,,,,,,
10000-00005,10000-00005,Moto,2023 - Spring,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Blue,TRUE,TRUE,10000-00005,10000-00005,10000-00006,10000-00007,10000-00008,10000-00009,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=702e291b-2df4-40e9-9d3c-99de9139f842,https://fs.amplifi.io//file?id=702e291b-2df4-40e9-9d3c-99de9139f842&variant=thumb&extension=png,https://fs.amplifi.io//file?id=702e291b-2df4-40e9-9d3c-99de9139f842,,,,,,,,,,
10000-00010,10000-00010,Moto,2023 - Spring,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Fluo Yellow/Black,TRUE,TRUE,10000-00010,10000-00010,10000-00011,10000-00012,10000-00013,10000-00014,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=54fa7a1a-6a08-4523-a55e-1744e1d1028e,https://fs.amplifi.io//file?id=54fa7a1a-6a08-4523-a55e-1744e1d1028e&variant=thumb&extension=png,https://fs.amplifi.io//file?id=54fa7a1a-6a08-4523-a55e-1744e1d1028e,,,,,,,,,,
10000-00015,10000-00015,Moto,2023 - Spring,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Navy/White,TRUE,FALSE,10000-00015,10000-00015,10000-00016,10000-00017,10000-00018,10000-00019,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=d108c315-1470-4d25-93ce-f7a8827b304a,https://fs.amplifi.io//file?id=d108c315-1470-4d25-93ce-f7a8827b304a&variant=thumb&extension=png,https://fs.amplifi.io//file?id=d108c315-1470-4d25-93ce-f7a8827b304a,,,,,,,,,,
10000-00025,10000-00025,Moto,2023 - Spring,AIRMATIC,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Red/Black,TRUE,TRUE,10000-00025,10000-00025,10000-00026,10000-00027,10000-00028,10000-00029,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=b7320249-3743-4089-a568-147913c99830,https://fs.amplifi.io//file?id=b7320249-3743-4089-a568-147913c99830&variant=thumb&extension=png,https://fs.amplifi.io//file?id=b7320249-3743-4089-a568-147913c99830,,,,,,,,,,
10001-00000,10001-00000,Moto,2023 - Spring,AIRMATIC,Youth Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Youth,Black/Charcoal,TRUE,TRUE,10001-00000,10001-00000,10001-00001,10001-00002,10001-00003,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=5fcc6cac-b815-47fb-b130-e46be9152db8,https://fs.amplifi.io//file?id=5fcc6cac-b815-47fb-b130-e46be9152db8&variant=thumb&extension=png,https://fs.amplifi.io//file?id=5fcc6cac-b815-47fb-b130-e46be9152db8,https://fs.amplifi.io//file?id=a80707ce-e977-4226-9923-606dee63c90f,,,,,,,,,
10001-00004,10001-00004,Moto,2023 - Spring,AIRMATIC,Youth Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Youth,Fluo Yellow/Black,TRUE,TRUE,10001-00004,10001-00004,10001-00005,10001-00006,10001-00007,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=73b94358-8929-4d8b-b88d-2d866842d352,https://fs.amplifi.io//file?id=73b94358-8929-4d8b-b88d-2d866842d352&variant=thumb&extension=png,https://fs.amplifi.io//file?id=73b94358-8929-4d8b-b88d-2d866842d352,,,,,,,,,,
10001-00008,10001-00008,Moto,2023 - Spring,AIRMATIC,Youth Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Youth,Red/Black,TRUE,TRUE,10001-00008,10001-00008,10001-00009,10001-00010,10001-00011,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=8f601035-6659-46af-8e4f-0613e2c04c0f,https://fs.amplifi.io//file?id=8f601035-6659-46af-8e4f-0613e2c04c0f&variant=thumb&extension=png,https://fs.amplifi.io//file?id=8f601035-6659-46af-8e4f-0613e2c04c0f,,,,,,,,,,
10008-00005,10008-00005,Moto,2023 - Spring,ITRACK,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Black,TRUE,TRUE,10008-00005,10008-00005,10008-00006,10008-00007,10008-00008,10008-00009,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=0928ccac-a9a7-469f-b7d5-ddc7053a8215,https://fs.amplifi.io//file?id=0928ccac-a9a7-469f-b7d5-ddc7053a8215&variant=thumb&extension=png,https://fs.amplifi.io//file?id=0928ccac-a9a7-469f-b7d5-ddc7053a8215,,,,,,,,,,
10008-00010,10008-00010,Moto,2023 - Spring,ITRACK,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Fluo Yellow,TRUE,TRUE,10008-00010,10008-00010,10008-00011,10008-00012,10008-00013,10008-00014,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=6741be02-65f7-4018-b176-d0c0a7ce4672,https://fs.amplifi.io//file?id=6741be02-65f7-4018-b176-d0c0a7ce4672&variant=thumb&extension=png,https://fs.amplifi.io//file?id=6741be02-65f7-4018-b176-d0c0a7ce4672,,,,,,,,,,
10008-00015,10008-00015,Moto,2023 - Spring,ITRACK,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Red,TRUE,TRUE,10008-00015,10008-00015,10008-00016,10008-00017,10008-00018,10008-00019,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=4463d059-9dce-45aa-b12e-6dd4e5f02757,https://fs.amplifi.io//file?id=4463d059-9dce-45aa-b12e-6dd4e5f02757&variant=thumb&extension=png,https://fs.amplifi.io//file?id=4463d059-9dce-45aa-b12e-6dd4e5f02757,,,,,,,,,,
10009-00000,10009-00000,Moto,2023 - Spring,ITRACK,Youth Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Youth,Black,TRUE,TRUE,10009-00000,10009-00000,10009-00001,10009-00002,10009-00003,,,,S,M,L,XL,,,,24.5,24.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=c98087f1-ebf9-4f03-a50f-c25fe6c8ec07,https://fs.amplifi.io//file?id=c98087f1-ebf9-4f03-a50f-c25fe6c8ec07&variant=thumb&extension=png,https://fs.amplifi.io//file?id=c98087f1-ebf9-4f03-a50f-c25fe6c8ec07,,,,,,,,,,
10009-00004,10009-00004,Moto,2023 - Spring,ITRACK,Youth Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Youth,Fluo Yellow,TRUE,TRUE,10009-00004,10009-00004,10009-00005,10009-00006,10009-00007,,,,S,M,L,XL,,,,24.5,24.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=ab7e7fac-2c22-4419-ac1f-295021aaebdc,https://fs.amplifi.io//file?id=ab7e7fac-2c22-4419-ac1f-295021aaebdc&variant=thumb&extension=png,https://fs.amplifi.io//file?id=ab7e7fac-2c22-4419-ac1f-295021aaebdc,,,,,,,,,,
10010-00000,10010-00000,Moto,2023 - Spring,RIDEFIT,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Black/White,TRUE,TRUE,10010-00000,10010-00000,10010-00001,10010-00002,10010-00003,10010-00004,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"53% Nylon
18% Polyester
13% Rubber
9% Elastane
7% Polyurethane (PU)","Divine Simplicity. Precision engineering delivers a lightweight, high performance glove. The ergonomically crafted fit utilizes an embossed neoprene/TPR closure system for the most secure fit.","• Unique embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Stretch finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort with reduced bunching
• Silicone palm graphics complete the factory look and provides added grip
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=bb4c5dce-b2e0-4de9-9fde-956885604e02,https://fs.amplifi.io//file?id=bb4c5dce-b2e0-4de9-9fde-956885604e02&variant=thumb&extension=png,https://fs.amplifi.io//file?id=bb4c5dce-b2e0-4de9-9fde-956885604e02,,,,,,,,,,
10010-00005,10010-00005,Moto,2023 - Spring,RIDEFIT,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Fluo Orange,TRUE,TRUE,10010-00005,10010-00005,10010-00006,10010-00007,10010-00008,10010-00009,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"53% Nylon
18% Polyester
13% Rubber
9% Elastane
7% Polyurethane (PU)","Divine Simplicity. Precision engineering delivers a lightweight, high performance glove. The ergonomically crafted fit utilizes an embossed neoprene/TPR closure system for the most secure fit.","• Unique embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Stretch finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort with reduced bunching
• Silicone palm graphics complete the factory look and provides added grip
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=adadd4e6-d28d-43b1-882e-7e5123c95933,https://fs.amplifi.io//file?id=adadd4e6-d28d-43b1-882e-7e5123c95933&variant=thumb&extension=png,https://fs.amplifi.io//file?id=adadd4e6-d28d-43b1-882e-7e5123c95933,,,,,,,,,,
10010-00025,10010-00025,Moto,2023 - Spring,RIDEFIT,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Navy,TRUE,TRUE,10010-00025,10010-00025,10010-00026,10010-00027,10010-00028,10010-00029,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"53% Nylon
18% Polyester
13% Rubber
9% Elastane
7% Polyurethane (PU)","Divine Simplicity. Precision engineering delivers a lightweight, high performance glove. The ergonomically crafted fit utilizes an embossed neoprene/TPR closure system for the most secure fit.","• Unique embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Stretch finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort with reduced bunching
• Silicone palm graphics complete the factory look and provides added grip
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=d7375fc5-86fe-4592-ba5d-b33f9caf1177,https://fs.amplifi.io//file?id=d7375fc5-86fe-4592-ba5d-b33f9caf1177&variant=thumb&extension=png,https://fs.amplifi.io//file?id=d7375fc5-86fe-4592-ba5d-b33f9caf1177,,,,,,,,,,
10011-00000,10011-00000,"Bike, Moto",2023 - Spring,RIDECAMP,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Army Green/Black,TRUE,TRUE,10011-00000,10011-00000,10011-00001,10011-00002,10011-00003,10011-00004,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=14913a6c-be9e-4a8b-9a64-24be34a05614,https://fs.amplifi.io//file?id=14913a6c-be9e-4a8b-9a64-24be34a05614&variant=thumb&extension=png,https://fs.amplifi.io//file?id=14913a6c-be9e-4a8b-9a64-24be34a05614,,,,,,,,,,
10011-00005,10011-00005,"Bike, Moto",2023 - Spring,RIDECAMP,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Black,TRUE,TRUE,10011-00005,10011-00005,10011-00006,10011-00007,10011-00008,10011-00009,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=5305d797-9411-4619-a647-e6944ed44eb2,https://fs.amplifi.io//file?id=5305d797-9411-4619-a647-e6944ed44eb2&variant=thumb&extension=png,https://fs.amplifi.io//file?id=a3a11394-2aae-46ab-b6b0-844e73bc1180,https://fs.amplifi.io//file?id=5305d797-9411-4619-a647-e6944ed44eb2,,,,,,,,,
10011-00010,10011-00010,"Bike, Moto",2023 - Spring,RIDECAMP,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Fluo Yellow,TRUE,TRUE,10011-00010,10011-00010,10011-00011,10011-00012,10011-00013,10011-00014,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=3480ee8a-95e2-4a52-9fcd-2df8fa0771fe,https://fs.amplifi.io//file?id=3480ee8a-95e2-4a52-9fcd-2df8fa0771fe&variant=thumb&extension=png,https://fs.amplifi.io//file?id=d2b88f3b-eb93-4853-b791-70f66a1ee395,https://fs.amplifi.io//file?id=3480ee8a-95e2-4a52-9fcd-2df8fa0771fe,https://fs.amplifi.io//file?id=538fb559-0a11-4987-b65a-cb9132d9f375,,,,,,,,
10011-00015,10011-00015,"Bike, Moto",2023 - Spring,RIDECAMP,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Navy/Slate Blue,TRUE,TRUE,10011-00015,10011-00015,10011-00016,10011-00017,10011-00018,10011-00019,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=a17f9a18-13c9-4fc0-a3a7-cdce8ee659eb,https://fs.amplifi.io//file?id=a17f9a18-13c9-4fc0-a3a7-cdce8ee659eb&variant=thumb&extension=png,https://fs.amplifi.io//file?id=68076869-cadc-4f4b-9d59-ee35901c38af,https://fs.amplifi.io//file?id=a17f9a18-13c9-4fc0-a3a7-cdce8ee659eb,,,,,,,,,
10011-00020,10011-00020,"Bike, Moto",2023 - Spring,RIDECAMP,Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Mens,Red,TRUE,TRUE,10011-00020,10011-00020,10011-00021,10011-00022,10011-00023,10011-00024,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=641b4873-73b8-4b20-8252-3e39247d26ee,https://fs.amplifi.io//file?id=641b4873-73b8-4b20-8252-3e39247d26ee&variant=thumb&extension=png,https://fs.amplifi.io//file?id=641b4873-73b8-4b20-8252-3e39247d26ee,,,,,,,,,,
10012-00000,10012-00000,"Bike, Moto",2023 - Spring,RIDECAMP,Youth Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Youth,Black/Charcoal,TRUE,TRUE,10012-00000,10012-00000,10012-00001,10012-00002,10012-00003,,,,S,M,L,XL,,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","•  Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=9d08a2f3-e9a6-48a6-836a-cef13a4e2845,https://fs.amplifi.io//file?id=9d08a2f3-e9a6-48a6-836a-cef13a4e2845&variant=thumb&extension=png,https://fs.amplifi.io//file?id=d061a5d8-3ba2-40db-95ee-5898c168b917,https://fs.amplifi.io//file?id=9d08a2f3-e9a6-48a6-836a-cef13a4e2845,https://fs.amplifi.io//file?id=54b8e8e9-7684-4478-85b0-ca8ba6c36702,,,,,,,,
10012-00004,10012-00004,"Bike, Moto",2023 - Spring,RIDECAMP,Youth Gloves,Gloves,Soft Goods,SP22,"FA22, SP22, SP23",Gloves,Regular,,Youth,Red,TRUE,TRUE,10012-00004,10012-00004,10012-00005,10012-00006,10012-00007,,,,S,M,L,XL,,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","•  Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=1980fbd0-7360-49bd-b37a-49b2fb18c9ca,https://fs.amplifi.io//file?id=1980fbd0-7360-49bd-b37a-49b2fb18c9ca&variant=thumb&extension=png,https://fs.amplifi.io//file?id=1980fbd0-7360-49bd-b37a-49b2fb18c9ca,,,,,,,,,,
